{'data': {'num_labeled': 250}, 'steps': {'updates': 1024, 'epochs': 250, 'test_epoch': 10}, 'hp': {'bs': 64, 'wd': 0.0005, 'lr': 0.03}, 'ref': {'threshold': 0.95, 'τ': 0.333, 'μ': 7, 'α': 0.05, 'order': 2, 'particles': 4}, 'seed': 0, 'num_workers': 4}
Files already downloaded and verified
{'epoch': 0, 'test_acc': 10.04, 'test_loss': 4.225, 'ema_test_acc': 10.04, 'ema_test_loss': 4.225, 'particle_accs': [10.01, 9.56, 10.0, 10.19]}
{'epoch': 30, 'test_acc': 83.69, 'test_loss': 0.995, 'ema_test_acc': 87.04, 'ema_test_loss': 1.086, 'particle_accs': [79.05, 79.81, 80.54, 70.06]}
{'epoch': 31, 'ce_loss': 0.003169225830441763, 'loss': 0.48125313553059673, 'H_y': 0.23654099290904645, 'H_yx': 0.43689673428195197, 'masks': 1610.215053763441}
{'epoch': 32, 'ce_loss': 0.0024731665651492284, 'loss': 0.4788593168598932, 'H_y': 0.23315080939150276, 'H_yx': 0.43521772757653265, 'masks': 1613.4594330400782}
{'epoch': 33, 'ce_loss': 0.0027788562213440266, 'loss': 0.4756976921595669, 'H_y': 0.23325305355608988, 'H_yx': 0.4321400127569368, 'masks': 1615.1143695014662}
{'epoch': 34, 'ce_loss': 0.0024132246402211867, 'loss': 0.4726598928750785, 'H_y': 0.23391702297787278, 'H_yx': 0.4297973571576448, 'masks': 1618.6217008797653}
{'epoch': 35, 'ce_loss': 0.002737507631793508, 'loss': 0.4749186924009612, 'H_y': 0.23367580081011194, 'H_yx': 0.4315052954216041, 'masks': 1619.6647116324536}
{'epoch': 36, 'ce_loss': 0.002332776939301135, 'loss': 0.4730578126387629, 'H_y': 0.2264815622381684, 'H_yx': 0.429850904910096, 'masks': 1622.6089931573802}
{'epoch': 37, 'ce_loss': 0.0025540603545140695, 'loss': 0.4749577513013767, 'H_y': 0.2293484230777968, 'H_yx': 0.4314867604454708, 'masks': 1624.6578690127078}
{'epoch': 38, 'ce_loss': 0.002227336121372416, 'loss': 0.4667167630946065, 'H_y': 0.23343240502467952, 'H_yx': 0.4246543002909346, 'masks': 1626.4349951124145}
{'epoch': 39, 'ce_loss': 0.002560586521621788, 'loss': 0.46872943354258906, 'H_y': 0.2300754142879624, 'H_yx': 0.42597964070992267, 'masks': 1628.5581622678396}
